current_title,url
"The Benefits of Slowing Down","https://www.youngmoney.co/i/146186493"
"Ai is Making the Internet Worse","https://www.youngmoney.co/i/146186494"
"Adios Business School","https://www.youngmoney.co/i/146186495"
"No Rules","https://www.youngmoney.co/i/146186496"
"Be Your Own Marketing","https://www.youngmoney.co/i/146186497"
"Is Business School Worth it","https://www.youngmoney.co/i/146186498"
"Jack s March 2024 Recap","https://www.youngmoney.co/i/146186499"
"Rethinking Risk","https://www.youngmoney.co/i/146186500"
"Media Isn t Dead it s Evolving","https://www.youngmoney.co/i/146186501"
"Why Don t We do What We Want","https://www.youngmoney.co/i/146186502"
"Jack s February 2024 Recap I Got a Job","https://www.youngmoney.co/i/146186503"
"What Are We Assuming","https://www.youngmoney.co/i/146186504"
"On Anonymity and the Right to Privacy","https://www.youngmoney.co/i/146186505"
"Jack s January 2024 Recap","https://www.youngmoney.co/i/146186506"
"Cost Efficiency","https://www.youngmoney.co/i/146186507"
"Everything Wrong New Years Resolutions","https://www.youngmoney.co/i/146186508"
"Americans Aren t Poor They re Pre Rich","https://www.youngmoney.co/i/146186509"
"Not Everything Depends on Context","https://www.youngmoney.co/i/146186510"
"The Cost of Progress","https://www.youngmoney.co/i/146186511"
"Creating Your Own Career","https://www.youngmoney.co/i/146186512"
"The Creator Economy Isn t Dead","https://www.youngmoney.co/i/146215701"
"Why Are Young People Rich and Miserable","https://www.youngmoney.co/i/146215703"
"Two Types of Money Problems","https://www.youngmoney.co/i/146215704"
"Magic Internet Money","https://www.youngmoney.co/i/146215705"
"Betting Against Regulators","https://www.youngmoney.co/i/146215706"
"Everything You Can t Predict","https://www.youngmoney.co/i/146215707"
"Instacart s Ipo and the Problem With Series I s","https://www.youngmoney.co/i/146215708"
"The Cyclicality of Everything","https://www.youngmoney.co/i/146215709"
"New Ftx Fraud Just Dropped","https://www.youngmoney.co/i/146215710"
"Margin of Safety","https://www.youngmoney.co/i/146215711"
"Timing Matters","https://www.youngmoney.co/i/146215735"
"What s a Reputation Worth","https://www.youngmoney.co/i/146215736"
"Some Advice for a 22 Year Old Just Getting Started","https://www.youngmoney.co/i/146215738"
"Halfway Through my Professionally Acceptable Two Year Experiment","https://www.youngmoney.co/i/146215743"
"What s Going on Retail Traders Love Bankrupt Stocks","https://www.youngmoney.co/i/146215744"
"The Inefficient Market Hypothesis How Hertz Became the First Meme Stock","https://www.youngmoney.co/i/146215746"
"Categories of 1","https://www.youngmoney.co/i/146215747"
"Five Career Related Things I Ve Changed my Mind on","https://www.youngmoney.co/i/146215749"
"Does Threads Pose an Existential Threat to Twitter","https://www.youngmoney.co/i/146215750"
"The Money Cliff","https://www.youngmoney.co/i/146215751"
"In Defense of the Fed","https://www.youngmoney.co/i/146215753"
"Chasing the Ai Goldrush","https://www.youngmoney.co/i/146215755"
"The Difference Between Self Employment and Normal Jobs","https://www.youngmoney.co/i/146215758"
"You Don t Have to and Probably Shouldn t Make Your Passion Your Profession","https://www.youngmoney.co/i/146215759"
"You Can Be Successful Without Being Insufferable","https://www.youngmoney.co/i/146215762"
"The Case for Living Life Backwards","https://www.youngmoney.co/i/146215764"
"The Most Important Asset That You Never Think About","https://www.youngmoney.co/i/146215765"
"The Offers You Shouldn t Accept","https://www.youngmoney.co/i/146215767"
"We Should Really Be Having More Kids","https://www.youngmoney.co/i/146215768"
"The Upside to Delayed Success","https://www.youngmoney.co/i/146215770"
